,sample_number,date,temp,status
145,145,260913011427,77,0x2626020053042F0867284063983169001902581E000000334E00000500000040000000000238EF00260913011427CD2C7B44B15998C21A4A834000000011283200000001107300001822023D125A754310FFFF
146,146,260913011452,77,0x262602005304300867284063983169001902581E000000254F00000500000040000000000238EF00260913011452CD2C7B44B15998C21A4A8340000000112821000000011099000015EF023F1058754310FFFF
147,147,260913011517,76,0x262602005304310867284063983169001902581E0000002C4F00000500000040000000000238EF00260913011517CD2C7B44B15998C21A4A83400000001128250000000110B800001507023E1059744210FFFF
148,148,260913011542,76,0x262602005304320867284063983169001902581E000000254E00000500000040000000000238EF00260913011542CD2C7B44B15998C21A4A83400000001128290000000110E00000159B0240105A744210FFFF
149,149,260913011606,76,0x262602005304330867284063983169001902581E000000254E00000500000040000000000238EF00260913011606CD2C7B44B15998C21A4A83400000001128240000000110FF00001752023C115A744210FFFF
150,150,260913011631,76,0x262602005304340867284063983169001902581E000000254C00000500000040000000000238EF00260913011631CD2C7B44B15998C21A4A834000000011282600000001112300000FDF023C0C5874420FFFFF
151,151,260913011657,76,0x262602005304350867284063983169001902581E000000254F00000500000040000000000238EF00260913011657CD2C7B44B15998C21A4A834000000011282500000001114300001378023D0E58744210FFFF
152,152,260913011722,76,0x262602005304360867284063983169001902581E000000255000000500000040000000000238EF00260913011722CD2C7B44B15998C21A4A834000000011283200000001116600000FDF023D0C5A744210FFFF
153,153,260913011747,76,0x262602005304370867284063983169001902581E000000254F00000500000040000000000238EF00260913011747CD2C7B44B15998C21A4A83400000001128280000000111820000105E023E0C5A744210FFFF
154,154,260913011812,76,0x262602005304380867284063983169001902581E000000255000000500000040000000000238EF00260913011812CD2C7B44B15998C21A4A83400000001128260000000111A500001657023D1159744210FFFF
155,155,260913011837,76,0x262602005304390867284063983169001902581E000000254E00000500000040000000000238EF00260913011837CD2C7B44B15998C21A4A83400000001128370000000111C600000F3702400B5A744210FFFF
156,156,260913011902,76,0x2626020053043A0867284063983169001902581E000000224F00000500000040000000000238EF00260913011902CD2C7B44B15998C21A4A83400000001128240000000111E900000F23023F0B5A744210FFFF
